,bps_desa_kelurahan,total_BELUM TAMAT SD/SEDERAJAT,total_DIPLOMA I & II,total_DIPLOMA III,total_DIPLOMA IV/STRATA I,total_SLTA/SEDERAJAT,total_SLTP/SEDERAJAT,total_STRATA 2,total_STRATA 3,total_TAMAT SD/SEDERAJAT,total_TIDAK/BELUM SEKOLAH,pendidikan_rendah,pendidikan_menengah,pendidikan_tinggi,total_pendidikan,rendah_pct,menengah_pct,tinggi_pct
0,ANCOL,16662,1922,11941,38559,62867,19733,4492,502,13465,27887,58014,82600,57416,198030,0.2929556127859415,0.4171085189112761,0.2899358683027824
1,ANTAPANI KIDUL,32596,6977,29389,93787,124291,36590,14482,1636,24083,69387,126066,160881,146271,433218,0.2909989889616775,0.37136268576097947,0.33763832527734305
2,ANTAPANI KULON,15760,2025,8492,28029,54203,22611,5269,675,18723,31467,65950,76814,44490,187254,0.3521954137161289,0.41021286594678885,0.23759172033708226
3,ANTAPANI TENGAH,32180,6964,26609,76878,113624,37644,9244,1032,30036,70369,132585,151268,120727,404580,0.32771021800385586,0.37388897127885706,0.2984008107172871
4,ANTAPANI WETAN,29452,3974,14638,47347,97397,38308,8302,776,29242,56345,115039,135705,75037,325781,0.3531175851262044,0.4165528376424653,0.23032957723133024
5,ARJUNA,16951,4035,10269,26910,84587,27253,2846,259,19072,30653,66676,111840,44319,222835,0.2992169093724056,0.5018960217201068,0.1988870689074876
6,BABAKAN,57610,3337,12533,22857,130826,89324,1478,208,112058,93395,263063,220150,40413,523626,0.5023872000244449,0.42043366830524076,0.0771791316703143
7,BABAKAN ASIH,27422,2652,6996,15247,93661,44746,779,22,39750,48530,115702,138407,25696,279805,0.41350940833794964,0.4946552063043906,0.0918353853576598
8,BABAKAN CIAMIS,12961,1208,5474,16148,54733,15987,1469,155,13024,21959,47944,70720,24454,143118,0.3349962967621124,0.494137704551489,0.17086599868639862
9,BABAKAN CIPARAY,62052,3087,9746,26560,160338,94912,1385,142,111829,96916,270797,255250,40920,566967,0.4776239181469116,0.4502025691089605,0.07217351274412796
10,BABAKAN PENGHULU,12286,593,3656,12123,34761,19119,1981,155,17935,22017,52238,53880,18508,124626,0.4191581210983262,0.4323335419575369,0.14850833694413687
11,BABAKAN SARI,51865,3888,21602,49824,235986,87841,3178,400,76273,124393,252531,323827,78892,655250,0.38539641358260207,0.49420373903090425,0.1203998473864937
12,BABAKAN SURABAYA,28215,1531,8784,20961,119416,50574,1785,129,48150,68853,145218,169990,33190,348398,0.4168163996349003,0.4879189892020046,0.09526461116309508
13,BABAKAN TAROGONG,48249,3508,8682,17655,158812,82284,753,100,84348,88652,221249,241096,30698,493043,0.4487417933121452,0.4889958887967175,0.06226231789113729
14,BALONG GEDE,11821,872,5153,18142,57769,17025,1164,169,8465,20159,40445,74794,25500,140739,0.2873759228074663,0.5314376256758965,0.18118645151663718
15,BATUNUNGGAL,26823,2828,13673,48630,108870,37070,6075,804,30531,54003,111357,145940,72010,329307,0.3381555812661134,0.4431730877266502,0.2186713310072364
16,BINONG,32112,1112,7242,20895,114134,53673,1117,82,38316,52364,122792,167807,30448,321047,0.3824735942089476,0.5226867094226079,0.0948396963684445
17,BRAGA,8247,801,3245,11247,42068,14224,1073,149,8275,15017,31539,56292,16515,104346,0.3022540394456903,0.539474440802714,0.15827151975159565
18,BURANGRANG,15441,2679,10488,19595,57437,20645,2569,318,14868,25932,56241,78082,35649,169972,0.33088391029110675,0.4593815451956793,0.20973454451321394
19,CAMPAKA,32908,1391,8076,22695,108622,47821,2101,191,37134,50889,120931,156443,34454,311828,0.38781315340508227,0.5016964480418692,0.11049039855304847
20,CARINGIN,17029,1485,5295,15793,43384,26797,1772,311,20473,28203,65705,70181,24656,160542,0.40926984838858366,0.4371504030098043,0.15357974860161203
21,CIATEUL,10762,1596,6851,20207,50769,13307,1626,234,6436,17006,34204,64076,30514,128794,0.2655713775486436,0.49750764787179524,0.23692097457956116
